"Timestamp","What is your academic year?","What is your major?","How many hours do you typically sleep during Ramadan?  ","How many hours do you spend studying daily during Ramadan?  ","Do you attend Taraweeh prayers during Ramadan?  ","How do you manage your university workload during Ramadan? (Multiple choices allowed)","What is the biggest challenge you face in managing your time during Ramadan? (Multiple choices allowed)","When do you feel most productive during Ramadan?  ","","",""
"2025/03/19 8:12:56 PM GMT+3","Sophomore","Computer Science","4–6 hours","1–3 hours","Yes, every night","I study late at night after Taraweeh;I take breaks more frequently than usual","Balancing studies and religious commitments;Feeling tired and low on energy;Disrupted sleep schedule","Late night (after Taraweeh)","Study or complete university work;Use social media or watch entertainment","Yes","Public transport (bus, train, metro, etc.)"
"2025/03/19 8:14:16 PM GMT+3","Sophomore","Computer Science","6–8 hours","3–5 hours","Yes, but only sometimes","I stick to a strict study schedule;I study early in the morning before Suhoor","Feeling tired and low on energy;Difficulty concentrating while studying before Iftar","Early morning (after Suhoor)","Spend time with family/friends;Sleep early to wake up for Suhoor","No","Car (personal or family)"
"2025/03/19 8:15:45 PM GMT+3","Junior","Engineering","Less than 4 hours","1–3 hours","No, I don’t attend Taraweeh","I study early in the morning before Suhoor","Balancing studies and religious commitments;Difficulty concentrating while studying before Iftar","Evening (after Iftar)","Study or complete university work;Read Quran or engage in personal worship","Yes","Ride-sharing (Uber, Bolt, Careem, etc.)"
"2025/03/19 8:17:05 PM GMT+3","Sophomore","Computer Science","4–6 hours","3–5 hours","Yes, every night","I study late at night after Taraweeh;I take breaks more frequently than usual","Disrupted sleep schedule;Less time for social activities","Late night (after Taraweeh)","Study or complete university work;Go out (e.g., for snacks, walks, or gatherings);Use social media or watch entertainment","Yes","Public transport (bus, train, metro, etc.)"
"2025/03/19 8:18:10 PM GMT+3","Senior","Business Informatics","More than 8 hours","1–3 hours","Yes, but only sometimes","I only study when I feel I have energy;I take breaks more frequently than usual","Feeling tired and low on energy;Less time for social activities","I don't have a fixed productive time","Spend time with family/friends;Sleep early to wake up for Suhoor","No","Ride-sharing (Uber, Bolt, Careem, etc.)"
"2025/03/19 8:19:09 PM GMT+3","Sophomore","Computer Science","4–6 hours","3–5 hours","Yes, every night","I stick to a strict study schedule","Balancing studies and religious commitments;Disrupted sleep schedule","Early morning (after Suhoor)","Study or complete university work;Read Quran or engage in personal worship","Yes","University shuttle"
"2025/03/19 8:21:47 PM GMT+3","Freshman","Computer Science","6–8 hours","1–3 hours","Yes, but only sometimes","I study early in the morning before Suhoor;I struggle to manage my workload","Feeling tired and low on energy;Difficulty concentrating while studying before Iftar","Early morning (after Suhoor)","Study or complete university work;Sleep early to wake up for Suhoor","Yes","Car (personal or family)"
"2025/03/19 8:23:13 PM GMT+3","Freshman","Business Informatics","Less than 4 hours","1–3 hours","Yes, every night","I study late at night after Taraweeh;I struggle to manage my workload","Feeling tired and low on energy;Disrupted sleep schedule","I don't have a fixed productive time","Study or complete university work;Use social media or watch entertainment;Training session (gym, sports, etc.)","Yes","University shuttle"
"2025/03/19 8:28:15 PM GMT+3","Junior","Engineering","4–6 hours","3–5 hours","Yes, but only sometimes","I stick to a strict study schedule;I study late at night after Taraweeh","Balancing studies and religious commitments;Feeling tired and low on energy;Less time for social activities","I don't have a fixed productive time","Study or complete university work","No","Public transport (bus, train, metro, etc.)"
"2025/03/19 8:33:48 PM GMT+3","Sophomore","Computer Science","Less than 4 hours","1–3 hours","Yes, every night","I study late at night after Taraweeh;I struggle to manage my workload","Balancing studies and religious commitments;Feeling tired and low on energy;Disrupted sleep schedule;Difficulty concentrating while studying before Iftar","Late night (after Taraweeh)","Study or complete university work;Read Quran or engage in personal worship;Use social media or watch entertainment;Training session (gym, sports, etc.)","Yes","Car (personal or family)"
